🧝,バッド（下向き矢印）.png
🧝‍♀,バッド（下向き矢印）.png
🧝‍♂,バッド（下向き矢印）.png
🧞,猫.png
🧞‍♀,猫.png
🧞‍♂,猫.png
🧟,猫.png
🧟‍♀,猫.png
🧟‍♂,猫.png
🙍,るんるん.png
🙍‍♂,るんるん.png
🙍‍♀,るんるん.png
🙎,どんっ（衝撃）.png
🙎‍♂,どんっ（衝撃）.png
🙎‍♀,どんっ（衝撃）.png
🙅,ＴＶ.png
🙅‍♂,ＴＶ.png
🙅‍♀,ＴＶ.png
🙆,電話.png
🙆‍♂,電話.png
🙆‍♀,電話.png
💁,フリーダイヤル.png
💁‍♂,パンチ.png
💁‍♀,パンチ.png
🙋,犬.png
🙋‍♂,決定.png
🙋‍♀,猫.png
🙇,ふらふら.png
🙇‍♂,ふらふら.png
🙇‍♀,ふらふら.png
🤦,パンチ.png
🤦‍♂,パンチ.png
🤦‍♀,パンチ.png
🤷,かわいい.png
🤷‍♂,かわいい.png
🤷‍♀,かわいい.png
💆,美容院.png
💆‍♂,美容院.png
💆‍♀,美容院.png
💇,美容院.png
💇‍♂,美容院.png
💇‍♀,美容院.png
🚶,ゴルフ.png
🚶‍♂,ゴルフ.png
🚶‍♀,ゴルフ.png
🏃,ゴルフ.png
🏃‍♂,ゴルフ.png
🏃‍♀,ゴルフ.png
💃,バー.png
🕺,バー.png
👯,バー.png
👯‍♂,バー.png
👯‍♀,バー.png
🧖,レストラン.png
🧖‍♀,レストラン.png
🧖‍♂,レストラン.png
🧗,ゴルフ.png
🧗‍♀,猫.png
🧗‍♂,ゴルフ.png
🧘,ゴルフ.png
🧘‍♀,ゴルフ.png
🧘‍♂,ゴルフ.png
🛀,トイレ.png
🛌,トイレ.png
🕴,眼鏡.png
🗣,リボン.png
👤,1.png
👥,ふらふら.png
🤺,スポーツ.png
🏇,ゴルフ.png
⛷,スキー.png
🏂,スキー.png
🏌,ゴルフ.png
🏌‍♂,ゴルフ.png
🏌‍♀,ゴルフ.png
