🍦,グッド（上向き矢印）
🍧,グッド（上向き矢印）
🍨,グッド（上向き矢印）
🍩,猫
🍪,猫
🎂,蟹座
🍰,猫
🥧,猫
🍫,猫
🍬,ぴかぴか（新しい）
🍭,ぴかぴか（新しい）
🍮,猫
🍯,蟹座
🍼,水瓶座
🥛,水瓶座
☕,喫煙
🍵,喫煙
🍶,蟹座
🍾,グッド（上向き矢印）
🍷,ドコモ提供
🍸,グッド（上向き矢印）
🍹,グッド（上向き矢印）
🍺,蟹座
🍻,蟹座
🥂,ドコモ提供
🥃,喫煙
🥤,水瓶座
🥢,ふくろ
🍽,足
🍴,ＴＶ
🥄,ＴＶ
🔪,足
🏺,ぴかぴか（新しい）
🌍,がく～（落胆した顔）
🌎,たらーっ（汗）
🌏,ＣＤ
🌐,天秤座
🗺,天秤座
🗾,地下鉄
🏔,雪
⛰,山羊座
🌋,霧
🗻,山羊座
🏕,山羊座
🏖,双子座
🏜,蟹座
🏝,蟹座
🏞,山羊座
🏟,地下鉄
🏛,地下鉄
🏗,船
🏘,がく～（落胆した顔）
🏚,家
🏠,猫
🏡,猫
🏢,がく～（落胆した顔）
🏣,がく～（落胆した顔）
🏤,がく～（落胆した顔）
🏥,病院
🏦,がく～（落胆した顔）
🏨,船
🏩,ぴかぴか（新しい）
🏪,もうやだ～（悲しい顔）
🏫,家
🏬,蟹座
🏭,車椅子
🏯,山羊座
🏰,ドコモ提供
💒,がく～（落胆した顔）
🗼,アート
🗽,たらーっ（汗）
⛪,がく～（落胆した顔）
🕌,人影
🕍,地下鉄
⛩,がく～（落胆した顔）
🕋,人影
⛲,水瓶座
⛺,山羊座
🌁,猫
🌃,夜
🏙,猫
🌄,夜
🌅,天秤座
🌆,夜
🌇,夜
🌉,夜
♨,山羊座
🌌,霧
🎠,ＮＥＷ
🎡,コンビニ
🎢,コンビニ
💈,ドコモ提供
🎪,蠍座
🚂,サーチ（調べる）
🚃,猫
🚄,猫
🚅,モバＱ
🚆,猫
🚇,グッド（上向き矢印）
🚈,電車
🚉,猫
🚊,猫
🚝,電車
🚞,猫
🚋,猫
🚌,車椅子
🚍,車椅子
🚎,電車
🚐,車椅子
🚑,猫
🚒,猫
🚓,車椅子
🚔,車椅子
🚕,車椅子
🚖,車椅子
🚗,猫
🚘,猫
🚙,猫
🚚,車椅子
🚛,車椅子
🚜,車椅子
🚲,猫
🛴,ゴルフ
🛵,車椅子
🚏,車椅子
🛣,車椅子
🛤,車椅子
🛢,船
⛽,車椅子
🚨,車椅子
🚥,音楽
🚦,音楽
🛑,台風
🚧,耳
⚓,ぴかぴか（新しい）
⛵,船
🛶,船
🚤,グッド（上向き矢印）
🛳,猫
⛴,船
🛥,船
🚢,猫
✈,猫
🛩,猫
🛫,猫
🛬,猫
💺,台風
🚁,船
🚟,電車
🚠,電車
🚡,船
🛰,船
🚀,爆弾
🛸,猫
🛎,ポイント
⌛,銀行
⏳,銀行
⌚,銀行
⏰,音楽
⏱,音楽
⏲,音楽
🕰,銀行
🕛,夜
🕧,銀行
🕐,夜
🕜,銀行
🕑,夜
🕝,銀行
🕒,夜
🕞,銀行
🕓,夜
🕟,銀行
🕔,夜
🕠,銀行
🕕,夜
🕡,銀行
🕖,夜
🕢,銀行
🕗,夜
🕣,銀行
🕘,夜
🕤,銀行
🕙,夜
🕥,銀行
🕚,夜
🕦,銀行
🌑,霧
🌒,蠍座
🌓,曇り
🌔,夜
🌕,夜
🌖,夜
🌗,双子座
🌘,蠍座
🌙,蠍座
🌚,霧
🌛,夜
🌜,ＣＤ
🌡,雨
☀,天秤座
🌝,夜
🌞,天秤座
⭐,ブティック
🌟,ぴかぴか（新しい）
🌠,ブティック
☁,雨
⛅,雨
⛈,雨
🌤,雨
🌥,雨
🌦,雨
🌧,雨
🌨,雨
🌩,雨
🌪,雨
🌫,雨
🌬,耳
🌀,ガソリンスタンド
🌈,グッド（上向き矢印）
🌂,蟹座
☂,蟹座
☔,蟹座
⛱,双子座
⚡,もうやだ～（悲しい顔）
❄,がく～（落胆した顔）
☃,雪
⛄,雪
☄,天秤座
🔥,グッド（上向き矢印）
💧,蟹座
🌊,雨
🎃,蟹座
🎄,夜
🎆,雨
🎇,雨
✨,ぴかぴか（新しい）
🎈,グッド（上向き矢印）
🎉,夜
🎊,夜
🎋,蟹座
🎍,夜
🎎,夜
🎏,夜
🎐,雪
🎑,蟹座
🎀,夜
🎁,夜
🎗,夜
🎟,がく～（落胆した顔）
🎫,がく～（落胆した顔）
🎖,夜
🏆,パンチ
🏅,もうやだ～（悲しい顔）
🥇,1
🥈,2
🥉,1
⚽,exclamation×2
⚾,もうやだ～（悲しい顔）
🏀,もうやだ～（悲しい顔）
🏐,もうやだ～（悲しい顔）
🏈,足
🏉,もうやだ～（悲しい顔）
🎾,もうやだ～（悲しい顔）
🎳,もうやだ～（悲しい顔）
🏏,グッド（上向き矢印）
🏑,右斜め上
🏒,グッド（上向き矢印）
🏓,もうやだ～（悲しい顔）
🏸,船
🥊,グッド（上向き矢印）
🥋,もうやだ～（悲しい顔）
🥅,台風
⛳,グッド（上向き矢印）
⛸,グッド（上向き矢印）
🎣,もうやだ～（悲しい顔）
🎽,もうやだ～（悲しい顔）
🎿,グッド（上向き矢印）
🛷,グッド（上向き矢印）
🥌,グッド（上向き矢印）
🎯,もうやだ～（悲しい顔）
🎱,ＮＥＷ
🔮,猫
🎮,もうやだ～（悲しい顔）
🕹,もうやだ～（悲しい顔）
🎰,ＴＶ
🎲,もうやだ～（悲しい顔）
♠,黒ハート
♥,黒ハート
♦,黒ハート
♣,黒ハート
🃏,黒ハート
🀄,もうやだ～（悲しい顔）
🎴,黒ハート
🎭,猫
🖼,猫
🎨,ＮＥＷ
🔇,音楽
🔈,音楽
🔉,音楽
🔊,音楽
📢,音楽
📣,音楽
📯,音楽
🔔,ポイント
🔕,ポイント
🎼,0
🎵,音楽
🎶,音楽
🎙,耳
🎚,足
🎛,がく～（落胆した顔）
🎤,ゲーム
🎧,プレゼント
📻,ー（長音記号１）
🎷,ブティック
🎸,音楽
🎹,音楽
🎺,音楽
🎻,バー
🥁,音楽
📱,iモード（枠付き）
📲,iモード（枠付き）
☎,iモード（枠付き）
📞,音楽
📟,ぴかぴか（新しい）
📠,ＡＴＭ
🔋,車椅子
🔌,プレゼント
💻,iモード（枠付き）
🖥,iモード（枠付き）
🖨,iモード（枠付き）
⌨,iモード（枠付き）
🖱,iモード（枠付き）
🖲,iモード（枠付き）
💽,iモード（枠付き）
💾,iモード（枠付き）
💿,1
📀,1
🎥,眼鏡
🎞,映画
📽,台風
🎬,ゲーム
📺,ＮＥＷ
📷,眼鏡
📸,眼鏡
📹,眼鏡
📼,本
🔍,猫
🔎,猫
🕯,グッド（上向き矢印）
💡,美容院
🔦,ドコモ提供
🏮,蟹座
📔,喫煙
📕,本
📖,本
📗,本
📘,本
📙,本
📚,本
📓,猫
📒,モバＱ
📃,ドコモ提供
📜,ぴかぴか（新しい）
📄,phone to
📰,もうやだ～（悲しい顔）
🗞,もうやだ～（悲しい顔）
📑,ぴかぴか（新しい）
🔖,ぴかぴか（新しい）
🏷,iモード（枠付き）
💰,手（パー）
💴,猫
💵,猫
💶,猫
💷,猫
💸,猫
💳,手（パー）
💹,fax to
💱,手（パー）
💲,手（パー）
✉,ー（長音記号１）
📧,ー（長音記号１）
📨,ー（長音記号１）
📩,ー（長音記号１）
📤,ー（長音記号１）
📥,ー（長音記号１）
📦,ゴルフ
📫,がく～（落胆した顔）
📪,がく～（落胆した顔）
📬,がく～（落胆した顔）
